scenario_id,scenario_type,amount,failure_reason,payment_method,customer_history,previous_failures,previous_successes,customer_value,retry_count,retry_failed_events,target_recovered
SCN-000001,INSUFFICIENT_FUNDS_RECOVERY,2314.73,INSUFFICIENT_FUNDS,UPI,7,2,5,27611.93,2,0,1
SCN-000002,INSUFFICIENT_FUNDS_RECOVERY,7245.49,INSUFFICIENT_FUNDS,UPI,14,8,6,30685.74,2,0,1
SCN-000003,INSUFFICIENT_FUNDS_RECOVERY,2421.39,INSUFFICIENT_FUNDS,CARD,9,3,6,27956.45,2,0,1
SCN-000004,INSUFFICIENT_FUNDS_RECOVERY,1710.7,INSUFFICIENT_FUNDS,WALLET,13,4,9,15591.74,2,0,1
SCN-000005,INSUFFICIENT_FUNDS_RECOVERY,3158.14,INSUFFICIENT_FUNDS,WALLET,7,2,5,27528.57,2,0,1
SCN-000006,INSUFFICIENT_FUNDS_RECOVERY,5385.08,INSUFFICIENT_FUNDS,WALLET,7,1,6,28242.42,2,0,1
SCN-000007,INSUFFICIENT_FUNDS_RECOVERY,2964.22,INSUFFICIENT_FUNDS,NETBANKING,5,0,5,61585.8,2,0,1
SCN-000008,INSUFFICIENT_FUNDS_RECOVERY,421.22,INSUFFICIENT_FUNDS,CARD,11,3,8,18121.86,2,0,1
SCN-000009,INSUFFICIENT_FUNDS_RECOVERY,76181.61,INSUFFICIENT_FUNDS,UPI,13,5,8,786006.3,2,0,1
SCN-000010,INSUFFICIENT_FUNDS_RECOVERY,10746.16,INSUFFICIENT_FUNDS,WALLET,6,1,5,40959.35,2,0,1
SCN-000011,EXPIRED_CARD,64448.7,CARD_EXPIRED,CARD,5,0,5,311073.42,2,0,0
SCN-000012,EXPIRED_CARD,4007.4,CARD_EXPIRED,CARD,8,2,6,18471.59,2,0,0
SCN-000013,EXPIRED_CARD,2109.57,CARD_EXPIRED,CARD,11,5,6,21395.03,2,0,0
SCN-000014,EXPIRED_CARD,12354.39,CARD_EXPIRED,CARD,10,5,5,33843.19,2,0,0
SCN-000015,EXPIRED_CARD,2289.32,CARD_EXPIRED,CARD,8,2,6,66239.72,2,0,0
SCN-000016,EXPIRED_CARD,4478.42,CARD_EXPIRED,CARD,8,2,6,62747.16,2,0,0
SCN-000017,EXPIRED_CARD,31509.71,CARD_EXPIRED,CARD,4,2,2,47828.3,2,0,0
SCN-000018,EXPIRED_CARD,11806.31,CARD_EXPIRED,CARD,4,0,4,29040.35,2,0,0
SCN-000019,EXPIRED_CARD,3975.28,CARD_EXPIRED,CARD,10,4,6,34756.34,2,0,0
SCN-000020,EXPIRED_CARD,17026.59,CARD_EXPIRED,CARD,10,3,7,612302.64,2,0,0
SCN-000021,CHECKOUT_ABANDONMENT,6556.41,CHECKOUT_ABANDONED,NONE,3,0,3,49026.85,0,0,1
